amount.sum,amount_type.code,demarcation.code,financial_year_end.year
18727597.0,ADJB,DC42,2022
18271299.0,AUDA,DC42,2022
17028693.0,ADJB,DC42,2023
12130603.0,AUDA,DC42,2023
14392808.0,ADJB,DC42,2024
12419933.0,AUDA,DC42,2024
369317871.0,ADJB,DC43,2020
331592905.0,AUDA,DC43,2020
463320402.0,ADJB,DC43,2021
407978072.0,AUDA,DC43,2021
465022690.0,ADJB,DC43,2022
414860430.0,AUDA,DC43,2022
429059543.0,ADJB,DC43,2023
413792572.0,AUDA,DC43,2023
462564097.0,ADJB,DC43,2024
451797803.0,AUDA,DC43,2024
701590712.0,ADJB,DC44,2020
522235468.0,AUDA,DC44,2020
752510350.0,ADJB,DC44,2021
600000740.0,AUDA,DC44,2021
918235415.0,ADJB,DC44,2022
770225385.0,AUDA,DC44,2022
830358905.0,ADJB,DC44,2023
693231381.0,AUDA,DC44,2023
830035291.0,ADJB,DC44,2024
679999082.0,AUDA,DC44,2024
5476240.0,ADJB,DC45,2020
5962633.0,AUDA,DC45,2020
4873883.0,ADJB,DC45,2021
7435821.0,AUDA,DC45,2021
5902666.0,ADJB,DC45,2022
14956021.0,AUDA,DC45,2022
7473585.0,ADJB,DC45,2023
18370655.0,AUDA,DC45,2023
5345047.0,ADJB,DC45,2024
19432910.0,AUDA,DC45,2024
657849242.0,ADJB,DC47,2020
590103213.0,AUDA,DC47,2020
763804045.0,ADJB,DC47,2021
608199598.0,AUDA,DC47,2021
673072535.0,ADJB,DC47,2022
609140306.0,AUDA,DC47,2022
791587637.0,ADJB,DC47,2023
437559545.0,AUDA,DC47,2023
788159783.0,ADJB,DC47,2024
695036661.0,AUDA,DC47,2024
20728017.0,ADJB,DC48,2020
4915000.0,ADJB,DC48,2021
26012976.0,AUDA,DC48,2021
11599996.0,ADJB,DC48,2022
10353426.0,AUDA,DC48,2022
54099997.0,ADJB,DC48,2023
8457270.0,AUDA,DC48,2023
27177415.0,ADJB,DC48,2024
15626081.0,AUDA,DC48,2024
2077955.0,ADJB,DC5,2020
839309.0,AUDA,DC5,2020
4650537.0,ADJB,DC5,2021
3100209.0,AUDA,DC5,2021
6084603.0,ADJB,DC5,2022
5076612.0,AUDA,DC5,2022
5769519.0,ADJB,DC5,2023
4282461.0,AUDA,DC5,2023
11052089.0,ADJB,DC5,2024
6170982.0,AUDA,DC5,2024
2889099.0,ADJB,DC6,2020
2331628.0,AUDA,DC6,2020
3650673.0,ADJB,DC6,2021
3250133.0,AUDA,DC6,2021
3385498.0,ADJB,DC6,2022
2718365.0,AUDA,DC6,2022
3891894.0,ADJB,DC6,2023
2957945.0,AUDA,DC6,2023
5529259.0,ADJB,DC6,2024
4985986.0,AUDA,DC6,2024
3350000.0,ADJB,DC7,2020
2736033.0,AUDA,DC7,2020
4150000.0,ADJB,DC7,2021
4419418.0,AUDA,DC7,2021
2600000.0,ADJB,DC7,2022
2909831.0,AUDA,DC7,2022
3048061.0,ADJB,DC7,2023
3153707.0,AUDA,DC7,2023
2523000.0,ADJB,DC7,2024
3999270.0,AUDA,DC7,2024
1284640.0,ADJB,DC8,2020
1748704.0,AUDA,DC8,2020
1756640.0,ADJB,DC8,2021
1725732.0,AUDA,DC8,2021
1643790.0,ADJB,DC8,2022
3663657.0,AUDA,DC8,2022
2460240.0,ADJB,DC8,2023
3472419.0,AUDA,DC8,2023
3784645.0,ADJB,DC8,2024
3375342.0,AUDA,DC8,2024
12625854.0,ADJB,DC9,2020
9590302.0,AUDA,DC9,2020
24531090.0,ADJB,DC9,2021
9571774.0,AUDA,DC9,2021
16809649.0,ADJB,DC9,2022
14968041.0,AUDA,DC9,2022
20306835.0,ADJB,DC9,2023
16228712.0,AUDA,DC9,2023
20118943.0,ADJB,DC9,2024
19589052.0,AUDA,DC9,2024
117019938.0,ADJB,EC101,2020
-9257710.0,AUDA,EC101,2020
148875137.0,ADJB,EC101,2021
90784478.0,AUDA,EC101,2021
156804360.0,ADJB,EC101,2022
133674891.0,AUDA,EC101,2022
166429769.0,ADJB,EC101,2023
148855153.0,AUDA,EC101,2023
190195214.0,ADJB,EC101,2024
122525777.0,AUDA,EC101,2024
99505973.0,ADJB,EC102,2020
32939961.0,AUDA,EC102,2020
106630151.0,ADJB,EC102,2021
58526859.0,AUDA,EC102,2021
118620581.0,ADJB,EC102,2022
61990174.0,AUDA,EC102,2022
102886851.0,ADJB,EC102,2023
126530624.0,ADJB,EC102,2024
64466730.0,AUDA,EC102,2024
133028143.0,ADJB,EC104,2020
97953558.0,AUDA,EC104,2020
115156632.0,ADJB,EC104,2021
86113636.0,AUDA,EC104,2021
100278345.0,ADJB,EC104,2022
117666344.0,AUDA,EC104,2022
109105189.0,ADJB,EC104,2023
73721110.0,AUDA,EC104,2023
113849893.0,ADJB,EC104,2024
116504800.0,AUDA,EC104,2024
179969770.0,ADJB,EC105,2020
133575474.0,AUDA,EC105,2020
263475367.0,ADJB,EC105,2021
196849580.0,AUDA,EC105,2021
235856128.0,ADJB,EC105,2022
183384336.0,AUDA,EC105,2022
260176607.0,ADJB,EC105,2023
220338517.0,AUDA,EC105,2023
286418457.0,ADJB,EC105,2024
197386273.0,AUDA,EC105,2024
112606697.0,ADJB,EC106,2020
1393056831.0,AUDA,EC106,2020
49018711.0,ADJB,EC106,2021
1388954013.0,AUDA,EC106,2021
121287552.0,ADJB,EC106,2022
157625392.0,AUDA,EC106,2022
134580199.0,ADJB,EC106,2023
88155358.0,AUDA,EC106,2023
82601082.0,ADJB,EC106,2024
33641467.0,AUDA,EC106,2024
336014562.0,ADJB,EC108,2020
235089177.0,AUDA,EC108,2020
239375794.0,ADJB,EC108,2021
175093595.0,AUDA,EC108,2021
234227257.0,ADJB,EC108,2022
297433758.0,AUDA,EC108,2022
263554363.0,ADJB,EC108,2023
262996409.0,AUDA,EC108,2023
297553301.0,ADJB,EC108,2024
248144175.0,AUDA,EC108,2024
80149994.0,ADJB,EC109,2020
48379222.0,AUDA,EC109,2020
48967218.0,ADJB,EC109,2021
42358732.0,AUDA,EC109,2021
60658319.0,ADJB,EC109,2022
60842598.0,AUDA,EC109,2022
124195680.0,ADJB,EC109,2023
60150819.0,AUDA,EC109,2023
89559365.0,ADJB,EC109,2024
130585923.0,ADJB,EC121,2020
968917281.0,AUDA,EC121,2020
173943532.0,ADJB,EC121,2021
1135567585.0,AUDA,EC121,2021
162258135.0,ADJB,EC121,2022
1192530993.0,AUDA,EC121,2022
251967705.0,ADJB,EC121,2023
1319294220.0,AUDA,EC121,2023
213236913.0,ADJB,EC121,2024
1412323079.0,AUDA,EC121,2024
198134670.0,ADJB,EC122,2020
111659345.0,AUDA,EC122,2020
272019081.0,ADJB,EC122,2021
242739153.0,AUDA,EC122,2021
295495539.0,ADJB,EC122,2022
201199557.0,AUDA,EC122,2022
324336117.0,ADJB,EC122,2023
246036306.0,AUDA,EC122,2023
545337132.0,ADJB,EC122,2024
602491634.0,AUDA,EC122,2024
41732107.0,ADJB,EC123,2020
29504879.0,AUDA,EC123,2020
32263232.0,ADJB,EC123,2021
33124930.0,AUDA,EC123,2021
63592924.0,ADJB,EC123,2022
35911367.0,AUDA,EC123,2022
66757208.0,ADJB,EC123,2023
51859076.0,AUDA,EC123,2023
131353765.0,ADJB,EC123,2024
68157127.0,AUDA,EC123,2024
73759570.0,ADJB,EC124,2020
635064472.0,AUDA,EC124,2020
83594248.0,ADJB,EC124,2021
683796327.0,AUDA,EC124,2021
71736100.0,ADJB,EC124,2022
706435121.0,AUDA,EC124,2022
74139671.0,ADJB,EC124,2023
736980863.0,AUDA,EC124,2023
96284950.0,ADJB,EC124,2024
790859845.0,AUDA,EC124,2024
52801898.0,ADJB,EC126,2020
474849628.0,AUDA,EC126,2020
63944522.0,ADJB,EC126,2021
640561494.0,AUDA,EC126,2021
83564245.0,ADJB,EC126,2022
653425801.0,AUDA,EC126,2022
88171053.0,ADJB,EC126,2023
652344538.0,AUDA,EC126,2023
91240989.0,ADJB,EC126,2024
697284664.0,AUDA,EC126,2024
106721353.0,ADJB,EC129,2020
96238135.0,ADJB,EC129,2021
51348370.0,AUDA,EC129,2021
64110339.0,AUDA,EC129,2022
101614685.0,ADJB,EC129,2023
77095726.0,AUDA,EC129,2023
118330480.0,ADJB,EC129,2024
259856195.0,AUDA,EC129,2024
97214196.0,ADJB,EC131,2020
117615664.0,AUDA,EC131,2020
86359720.0,ADJB,EC131,2021
131093298.0,AUDA,EC131,2021
98455696.0,ADJB,EC131,2022
110642750.0,AUDA,EC131,2022
108450697.0,ADJB,EC131,2023
164646216.0,AUDA,EC131,2023
110992260.0,ADJB,EC131,2024
89566010.0,AUDA,EC131,2024
85809167.0,ADJB,EC135,2020
66619779.0,AUDA,EC135,2020
170391804.0,ADJB,EC135,2021
106282333.0,AUDA,EC135,2021
97765531.0,ADJB,EC135,2022
82728318.0,AUDA,EC135,2022
100595823.0,ADJB,EC135,2023
52737701.0,AUDA,EC135,2023
152026378.0,ADJB,EC135,2024
68701980.0,AUDA,EC135,2024
63600647.0,ADJB,EC136,2020
51736350.0,AUDA,EC136,2020
72106902.0,ADJB,EC136,2021
62982654.0,AUDA,EC136,2021
81765255.0,ADJB,EC136,2022
71821048.0,AUDA,EC136,2022
100124174.0,ADJB,EC136,2023
87693276.0,AUDA,EC136,2023
112388827.0,ADJB,EC136,2024
122877028.0,AUDA,EC136,2024
153405304.0,ADJB,EC137,2020
322209887.0,AUDA,EC137,2020
183267954.0,ADJB,EC137,2021
240932548.0,AUDA,EC137,2021
174302134.0,ADJB,EC137,2022
93155465.0,AUDA,EC137,2022
170220056.0,ADJB,EC137,2023
156165036.0,AUDA,EC137,2023
246395366.0,ADJB,EC137,2024
158262216.0,AUDA,EC137,2024
43428559.0,ADJB,EC138,2020
65299012.0,AUDA,EC138,2020
50034117.0,ADJB,EC138,2021
37060693.0,AUDA,EC138,2021
60640895.0,ADJB,EC138,2022
