amount.sum,demarcation.code,financial_year_end.year
-29514516.0,GT421,2021
-1396513375.0,GT421,2022
-879998995.0,GT421,2023
-1198352042.0,GT421,2024
292899587.0,GT422,2020
264139745.0,GT422,2021
1092953862.0,GT422,2022
1016082036.0,GT422,2023
3793513852.0,GT422,2024
41381770.0,GT423,2020
70866072.0,GT423,2021
921601079.0,GT423,2022
357465950.0,GT423,2023
569704525.0,GT423,2024
13816434.0,GT481,2020
71378427.0,GT481,2021
5284562.0,GT481,2023
83962928.0,GT481,2024
-385563878.0,GT484,2020
-34836327.0,GT484,2021
-901492170.0,GT484,2023
-477438102.0,GT484,2024
1900578698.0,GT485,2020
1704146664.0,GT485,2021
234863018.0,GT485,2022
429638218.0,GT485,2023
4593885682.0,GT485,2024
68123106379.0,JHB,2020
75451447666.0,JHB,2021
4722549104.0,JHB,2022
4722549104.0,JHB,2023
3717439189.0,JHB,2024
201265951.0,KZN212,2020
523626865.0,KZN212,2021
333515744.0,KZN212,2022
459874556.0,KZN212,2023
287458910.0,KZN212,2024
-62371647.0,KZN213,2020
-233923618.0,KZN213,2021
-486208356.0,KZN213,2022
-831155825.0,KZN213,2023
-1115542190.0,KZN213,2024
373254651.0,KZN214,2020
197249230.0,KZN214,2021
73762635.0,KZN214,2022
72807760.0,KZN214,2023
68550632.0,KZN214,2024
1913960081.0,KZN216,2020
1415728117.0,KZN216,2021
292266473.0,KZN216,2022
-95875816.0,KZN216,2023
177377647.0,KZN216,2024
21092.0,KZN221,2020
21949.0,KZN221,2021
1553828.0,KZN221,2022
10498353.0,KZN221,2023
-36738917.0,KZN221,2024
26215447.0,KZN222,2020
366184706.0,KZN222,2021
381089596.0,KZN222,2022
381521228.0,KZN222,2023
96512596.0,KZN222,2024
14622652.0,KZN223,2020
5363519.0,KZN223,2021
3518780.0,KZN223,2022
1330543.0,KZN223,2023
496064868.0,KZN223,2024
2416229.0,KZN224,2020
-165295.0,KZN224,2021
37128532.0,KZN224,2022
91025219.0,KZN224,2023
192267661.0,KZN224,2024
611349192.0,KZN225,2020
478860290.0,KZN225,2021
302817318.0,KZN225,2022
695267165.0,KZN225,2023
366360225.0,KZN225,2024
45238011.0,KZN226,2020
16488108.0,KZN226,2021
30203697.0,KZN226,2022
15818137.0,KZN226,2023
34903818.0,KZN226,2024
408676239.0,KZN227,2020
192698403.0,KZN227,2021
263147392.0,KZN227,2022
246682540.0,KZN227,2023
231660335.0,KZN227,2024
32157584.0,KZN235,2020
101828298.0,KZN235,2021
99235027.0,KZN235,2022
101636511.0,KZN235,2023
18263775.0,KZN235,2024
-28818094.0,KZN237,2020
-121838273.0,KZN237,2021
-29541691.0,KZN237,2022
173031070.0,KZN237,2023
276019894.0,KZN237,2024
911634795.0,KZN238,2020
152690364.0,KZN238,2021
1766606694.0,KZN238,2022
1111648879.0,KZN238,2023
1117269915.0,KZN238,2024
-27081145.0,KZN241,2020
-67077708.0,KZN241,2021
-27039649.0,KZN241,2022
23990233.0,KZN241,2023
301928753.0,KZN241,2024
262362813.0,KZN242,2020
592051039.0,KZN242,2021
317573238.0,KZN242,2022
136014241.0,KZN242,2023
-335429272.0,KZN242,2024
179978218.0,KZN244,2020
100911242.0,KZN244,2021
501386276.0,KZN244,2022
352308602.0,KZN244,2023
710550067.0,KZN244,2024
33164598.0,KZN245,2020
13415369.0,KZN245,2021
14316055.0,KZN245,2022
544439310.0,KZN245,2023
1038880957.0,KZN245,2024
25380441.0,KZN252,2020
2682652316.0,KZN252,2021
3135834666.0,KZN252,2022
2507200460.0,KZN252,2023
2137839670.0,KZN252,2024
5455722.0,KZN253,2020
6852084.0,KZN253,2021
5135582.0,KZN253,2022
-731724.0,KZN253,2023
18594444.0,KZN253,2024
104913948.0,KZN254,2020
36887410.0,KZN254,2021
185469246.0,KZN254,2022
165996612.0,KZN254,2023
-15254344.0,KZN254,2024
232.0,KZN261,2020
-3999918.0,KZN261,2021
-3999918.0,KZN261,2022
-177397918.0,KZN261,2023
-433008670.0,KZN261,2024
31696681.0,KZN262,2020
-23776224.0,KZN262,2021
-242824691.0,KZN262,2022
-191634655.0,KZN262,2023
-62343207.0,KZN262,2024
1494218062.0,KZN263,2020
839866393.0,KZN263,2021
184598247.0,KZN263,2022
185636077.0,KZN263,2023
213928729.0,KZN263,2024
38038.0,KZN265,2020
1180.0,KZN265,2021
15837898.0,KZN265,2022
15618097.0,KZN265,2023
63517653.0,KZN265,2024
23211.0,KZN266,2020
191671594.0,KZN266,2021
429451946.0,KZN266,2022
946993717.0,KZN266,2023
1064334831.0,KZN266,2024
70933663.0,KZN271,2020
395380927.0,KZN271,2021
209870916.0,KZN271,2022
141886350.0,KZN271,2023
115977531.0,KZN271,2024
17741348.0,KZN272,2020
-53197336.0,KZN272,2021
-103427024.0,KZN272,2022
-169098497.0,KZN272,2023
159037706.0,KZN272,2024
22807105.0,KZN275,2020
19249136.0,KZN275,2021
15011298.0,KZN275,2022
7785174.0,KZN275,2023
17073228.0,KZN275,2024
17117000.0,KZN276,2020
36999708.0,KZN276,2021
155788304.0,KZN276,2022
85527678.0,KZN276,2023
120174063.0,KZN276,2024
8148.0,KZN281,2021
-1584271.0,KZN281,2022
13328909.0,KZN281,2023
305328414.0,KZN281,2024
-3634959440.0,KZN282,2020
1034516786.0,KZN282,2021
461288405.0,KZN282,2022
482715030.0,KZN282,2023
246738129.0,KZN282,2024
113123721.0,KZN284,2020
126384654.0,KZN284,2021
-403186507.0,KZN284,2022
213376030.0,KZN284,2023
-9552631.0,KZN284,2024
-2092024.0,KZN285,2021
-1936760.0,KZN285,2022
-1494779.0,KZN285,2023
-15144158.0,KZN285,2024
1732.0,KZN286,2020
15130833.0,KZN286,2021
58467.0,KZN286,2022
200065448.0,KZN286,2023
203279124.0,KZN286,2024
74118274.0,KZN291,2020
814436006.0,KZN291,2021
805102588.0,KZN291,2022
1207233905.0,KZN291,2023
1348145187.0,KZN291,2024
1472430689.0,KZN292,2020
1191747236.0,KZN292,2021
1335126637.0,KZN292,2022
2671940472.0,KZN292,2023
2522159344.0,KZN292,2024
5870751.0,KZN293,2020
549548478.0,KZN293,2021
975888399.0,KZN293,2022
1486316407.0,KZN293,2023
1847678389.0,KZN293,2024
16622913.0,KZN294,2020
229290492.0,KZN294,2021
652182888.0,KZN294,2022
877922094.0,KZN294,2023
1017541840.0,KZN294,2024
673825971.0,KZN433,2020
484665828.0,KZN433,2021
167114272.0,KZN433,2022
282035626.0,KZN433,2023
266013666.0,KZN433,2024
273978091.0,KZN434,2020
389035869.0,KZN434,2021
438307086.0,KZN434,2022
866709343.0,KZN434,2023
558018795.0,KZN434,2024
542584616.0,KZN435,2020
747192998.0,KZN435,2021
347503717.0,KZN435,2022
459930156.0,KZN435,2023
296135260.0,KZN435,2024
49978.0,KZN436,2020
417191263.0,KZN436,2021
361539450.0,KZN436,2022
273218958.0,KZN436,2023
259610626.0,KZN436,2024
-46746335.0,LIM331,2023
-19998055.0,LIM331,2024
2581448.0,LIM332,2020
167009909.0,LIM332,2021
102820913.0,LIM332,2022
122207753.0,LIM332,2023
-138364886.0,LIM332,2024
255559698.0,LIM333,2020
-71591952.0,LIM333,2021
-807620277.0,LIM333,2022
-1213739794.0,LIM333,2023
5915221776.0,LIM333,2024
43481606.0,LIM334,2021
956240330.0,LIM334,2022
92327716.0,LIM334,2023
531262629.0,LIM334,2024
335889780.0,LIM335,2021
520607006.0,LIM335,2022
229531286.0,LIM335,2023
176941288.0,LIM335,2024
257628991.0,LIM341,2020
-37340173.0,LIM341,2021
265266398.0,LIM341,2022
14605136.0,LIM341,2023
2027882.0,LIM341,2024
-17520231.0,LIM343,2020
-448140437.0,LIM343,2021
1126053059.0,LIM343,2022
1201301282.0,LIM343,2023
986926097.0,LIM343,2024
897317462.0,LIM344,2020
462880084.0,LIM344,2021
104090234.0,LIM344,2022
51428708.0,LIM344,2023
-105442738.0,LIM344,2024
742927222.0,LIM345,2020
1085299140.0,LIM345,2021
464751703.0,LIM345,2022
363643569.0,LIM345,2023
447831534.0,LIM345,2024
10654220.0,LIM351,2020
54906394.0,LIM351,2021
-18795549.0,LIM351,2022
-142418711.0,LIM351,2023
144072063.0,LIM351,2024
19363526.0,LIM353,2020
57432387.0,LIM353,2021
200261731.0,LIM353,2022
256327515.0,LIM353,2023
330209219.0,LIM353,2024
5479830109.0,LIM354,2020
2492895970.0,LIM354,2021
1488582921.0,LIM354,2022
2838862082.0,LIM354,2023
733795490.0,LIM354,2024
619142200.0,LIM355,2021
442753533.0,LIM355,2022
755213321.0,LIM355,2023
1034608798.0,LIM355,2024
377845410.0,LIM361,2020
123558914.0,LIM361,2021
399192422.0,LIM361,2022
62349169.0,LIM361,2023
202947050.0,LIM361,2024
77384834.0,LIM362,2020
86494915.0,LIM362,2021
723183421.0,LIM362,2022
3574107294.0,LIM362,2023
732816393.0,LIM362,2024
849098366.0,LIM366,2021
122560315.0,LIM366,2022
164334306.0,LIM366,2023
92119774.0,LIM366,2024
16919574.0,LIM367,2020
295462870.0,LIM367,2021
272674749.0,LIM367,2022
147539279.0,LIM367,2023
306993689.0,LIM367,2024
212091029.0,LIM368,2020
211553349.0,LIM368,2021
558106774.0,LIM368,2022
665723856.0,LIM368,2024
259593300.0,LIM471,2020
445256135.0,LIM471,2021
341085850.0,LIM471,2022
385274930.0,LIM471,2023
425339785.0,LIM471,2024
270206913.0,LIM472,2020
537243644.0,LIM472,2021
-329528948.0,LIM472,2022
-129418820.0,LIM472,2023
-53564742.0,LIM472,2024
-646203.0,LIM473,2022
