amount.sum,demarcation.code,financial_year_end.year,item.code,item.label
62441177.0,DC25,2022,irregular,Irregular Expenditure
104938483.0,DC25,2022,unauthorised,Unauthorised Expenditure
3392529.0,DC25,2023,fruitless,Fruitless and Wasteful Expenditure
59027280.0,DC25,2023,irregular,Irregular Expenditure
84170083.0,DC25,2023,unauthorised,Unauthorised Expenditure
3329362.0,DC25,2024,fruitless,Fruitless and Wasteful Expenditure
26391991.0,DC25,2024,irregular,Irregular Expenditure
53933511.0,DC25,2024,unauthorised,Unauthorised Expenditure
1333903.0,DC26,2019,fruitless,Fruitless and Wasteful Expenditure
123776198.0,DC26,2019,irregular,Irregular Expenditure
0.0,DC26,2019,unauthorised,Unauthorised Expenditure
74013.0,DC26,2020,fruitless,Fruitless and Wasteful Expenditure
187177197.0,DC26,2020,irregular,Irregular Expenditure
0.0,DC26,2020,unauthorised,Unauthorised Expenditure
363040.0,DC26,2021,fruitless,Fruitless and Wasteful Expenditure
17918070.0,DC26,2021,irregular,Irregular Expenditure
127661348.0,DC26,2021,unauthorised,Unauthorised Expenditure
303721.0,DC26,2022,fruitless,Fruitless and Wasteful Expenditure
58990103.0,DC26,2022,irregular,Irregular Expenditure
127448321.0,DC26,2022,unauthorised,Unauthorised Expenditure
1046939.0,DC26,2023,fruitless,Fruitless and Wasteful Expenditure
94843990.0,DC26,2023,irregular,Irregular Expenditure
233980163.0,DC26,2023,unauthorised,Unauthorised Expenditure
3248400.0,DC26,2024,fruitless,Fruitless and Wasteful Expenditure
159294202.0,DC26,2024,irregular,Irregular Expenditure
233746094.0,DC26,2024,unauthorised,Unauthorised Expenditure
32517210.0,DC27,2019,fruitless,Fruitless and Wasteful Expenditure
494337612.0,DC27,2019,irregular,Irregular Expenditure
108190008.0,DC27,2019,unauthorised,Unauthorised Expenditure
1497617.0,DC27,2020,fruitless,Fruitless and Wasteful Expenditure
476417980.0,DC27,2020,irregular,Irregular Expenditure
45549902.0,DC27,2020,unauthorised,Unauthorised Expenditure
9784620.0,DC27,2021,fruitless,Fruitless and Wasteful Expenditure
193344394.0,DC27,2021,irregular,Irregular Expenditure
31857680.0,DC27,2021,unauthorised,Unauthorised Expenditure
1546327.0,DC27,2022,fruitless,Fruitless and Wasteful Expenditure
